"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,
,"IPC general","IPC variación mensual","IPC variación interanual"
2017-Agosto,131.65,-0.30,4.72
2017-Setiembre,130.93,-0.55,4.36
2017-Octubre,131.64,0.54,4.20
2017-Noviembre,132.77,0.86,4.69
2017-Diciembre,134.03,0.95,5.68
2018-Enero,133.50,-0.40,4.71
2018-Febrero,133.23,-0.20,4.15
2018-Marzo,133.54,0.23,4.14
2018-Abril,133.60,0.04,3.92
2018-Mayo,134.23,0.47,4.09
2018-Junio,135.00,0.57,3.79
2018-Julio,135.48,0.36,2.61
2018-Agosto,136.08,0.44,3.36
2018-Setiembre,136.89,0.60,4.55
2018-Octubre,137.35,0.34,4.34
2018-Noviembre,136.95,-0.29,3.15
2018-Diciembre,137.13,0.13,2.31
2019-Enero,138.98,1.35,4.10
2019-Febrero,139.17,0.14,4.46
2019-Marzo,139.11,-0.04,4.17
2019-Abril,139.95,0.60,4.75
2019-Mayo,140.32,0.26,4.54
2019-Junio,141.48,0.83,4.80
2019-Julio,141.40,-0.06,4.37
2019-Agosto,140.18,-0.86,3.01
2019-Setiembre,139.36,-0.58,1.80
2019-Octubre,140.33,0.70,2.17
2019-Noviembre,140.95,0.44,2.92
2019-Diciembre,141.80,0.60,3.41
2020-Enero,141.46,-0.24,1.78
2020-Febrero,140.89,-0.40,1.24
2020-Marzo,141.57,0.48,1.77
2020-Abril,142.58,0.71,1.88
2020-Mayo,142.85,0.19,1.80
2020-Junio,144.86,1.41,2.39
2020-Julio,145.47,0.42,2.88
2020-Agosto,146.05,0.40,4.19
2020-Setiembre,146.28,0.16,4.97
2020-Octubre,147.83,1.06,5.34
2020-Noviembre,148.65,0.55,5.46
2020-Diciembre,148.64,-0.01,4.82
2021-Enero,148.87,0.15,5.24
2021-Febrero,149.34,0.32,6.00
2021-Marzo,149.84,0.33,5.84
2021-Abril,150.00,0.11,5.20
2021-Mayo,150.24,0.16,5.17
2021-Junio,150.52,0.19,3.91
2021-Julio,151.02,0.33,3.82
2021-Agosto,151.33,0.21,3.62
2021-Setiembre,151.65,0.21,3.67
2021-Octubre,152.20,0.36,2.96
2021-Noviembre,152.94,0.49,2.89
2021-Diciembre,153.20,0.17,3.07
2022-Enero,153.14,-0.04,2.87
2022-Febrero,153.79,0.42,2.98
2022-Marzo,156.09,1.50,4.17
2022-Abril,156.93,0.54,4.62
2022-Mayo,158.98,1.31,5.82
2022-Junio,161.89,1.83,7.55
